ProbeID,GeneSymbol,EntrezID,logFC,AveExpr,t,PValue,adjPVal,B,ProbeID1,logFC1,AveExpr1,t1,PValue1,adjPVal1
206481_s_at,LDB2,9079,-1.35728643,6.541990131,-3.493585272,0.000914942,0.301678498,-0.818133038,206481_s_at,-0.031879943,6.541990131,-0.068002236,0.946020728,0.999925658
201125_s_at,ITGB5,3693,0.552630108,4.145278296,3.492797387,0.000917174,0.301678498,-0.820046927,201125_s_at,0.314777654,4.145278296,1.687907355,0.096868491,0.999925658
205277_at,PRDM2,7799,-0.83736651,5.439124562,-3.491963964,0.000919542,0.301678498,-0.822071156,205277_at,-0.218520902,5.439124562,-0.759418689,0.450716898,0.999925658
207768_at,EGR4,1961,-1.099519216,3.279907696,-3.488004406,0.000930868,0.301678498,-0.831684249,207768_at,-0.074383983,3.279907696,-0.192281527,0.848201906,0.999925658
238878_at,ARX,170302,-0.536386376,2.87518172,-3.485388266,0.000938423,0.301678498,-0.8380322,238878_at,0.079931467,2.87518172,0.433114283,0.666558695,0.999925658
236738_at,C3orf80,401097,-0.745732969,3.593059455,-3.485084091,0.000939306,0.301678498,-0.838770083,236738_at,-0.074260448,3.593059455,-0.286307929,0.775675491,0.999925658
229201_at,PAK3,5063,-1.476118467,6.259921185,-3.483508252,0.000943889,0.301678498,-0.84259222,229201_at,-0.085746107,6.259921185,-0.164909503,0.86959594,0.999925658
202919_at,MOB4,25843,-0.460354191,5.148901704,-3.478656986,0.000958133,0.301678498,-0.854352297,202919_at,-0.128862944,5.148901704,-0.799176911,0.42749008,0.999925658
204647_at,HOMER3,9454,0.492993522,3.784078098,3.478478311,0.000958662,0.301678498,-0.854785239,204647_at,0.324412514,3.784078098,1.986935383,0.051720711,0.999925658
211685_s_at,NCALD,83988,-1.116993947,4.909282649,-3.470397998,0.000982854,0.301678498,-0.874350566,211685_s_at,-0.268769537,4.909282649,-0.691766609,0.491879063,0.999925658
211922_s_at,CAT,847,0.516383501,4.424416615,3.469823551,0.000984596,0.301678498,-0.87574047,211922_s_at,0.032931902,4.424416615,0.187386742,0.852019749,0.999925658
236131_at,---,---,-0.597182379,3.244402476,-3.46949305,0.000985599,0.301678498,-0.876540072,236131_at,0.035026308,3.244402476,0.169356941,0.866112698,0.999925658
219736_at,TRIM36,55521,-0.676510687,4.916525625,-3.468500634,0.000988618,0.301678498,-0.878940812,219736_at,-0.092214009,4.916525625,-0.393715532,0.695253183,0.999925658
201994_at,MORF4L2,9643,-0.290466274,10.28917237,-3.468445604,0.000988786,0.301678498,-0.879073923,201994_at,-0.007858785,10.28917237,-0.079982593,0.93652995,0.999925658
233803_s_at,MYBBP1A,10514,-0.222868338,2.971186502,-3.467585386,0.00099141,0.301678498,-0.881154511,233803_s_at,-0.029784596,2.971186502,-0.379930958,0.705402065,0.999925658
225701_at,AKNA,80709,0.203525767,2.677540302,3.465854447,0.00099671,0.301678498,-0.885340151,225701_at,-0.020775497,2.677540302,-0.277897977,0.782091516,0.999925658
213452_at,ZNF184,7738,-0.36927892,4.104659982,-3.46181203,0.001009195,0.301678498,-0.895110367,213452_at,-0.047380059,4.104659982,-0.376560464,0.707891882,0.999925658
200621_at,CSRP1,1465,0.517539133,9.793005593,3.45967698,0.001015848,0.301678498,-0.900267854,200621_at,0.170505573,9.793005593,1.013605249,0.31503455,0.999925658
212469_at,NIPBL,25836,0.265511269,3.138182567,3.45884383,0.001018455,0.301678498,-0.902279917,212469_at,0.169976515,3.138182567,1.881505863,0.06498925,0.999925658
204729_s_at,STX1A,6804,-0.790643008,4.168761515,-3.458582303,0.001019275,0.301678498,-0.902911446,204729_s_at,-0.102854999,4.168761515,-0.371259658,0.711814122,0.999925658
