"Study","parent","DataType","Contrast","name","LogFC","size","PValue","AdjPValue"
"MSBB","Inferior Frontal Gyrus","RNA-Seq","AD-NCI","SLC8A2","-0.428216107665534","3.82001264450042","6.0540687267367e-06","0.000151351718168417"
"MSBB","Superior Temporal Gyrus","RNA-Seq","AD-NCI","SLC8A2","-0.375440563945072","2.91316754945076","7.32797030758346e-05","0.00122132838459724"
"MSBB","Inferior Temporal Gyrus","Microarray","AD-NCI","SLC8A2","-0.641373948484847","1.97182799770694","0.00170722980831396","0.0106701863019623"
"MSBB","Parahippocampal Gyrus","RNA-Seq","AD-NCI","SLC8A2","-0.368309894994575","1.67239568260683","0.00212620099667272","0.0212620099667272"
"MSBB","Putamen","Microarray","AD-NCI","SLC8A2","-0.436757097916666","1.62306982940483","0.00571664748340739","0.0238193645141975"
"MSBB","Superior Temporal Gyrus","Microarray","AD-NCI","SLC8A2","-0.440120690384614","1.36315543596312","0.0121339610179697","0.0433355750641775"
"MSBB","Caudate Nucleus","Microarray","AD-NCI","SLC8A2","-0.255979506923075","1.25394739849475","0.0178321036494706","0.0557253239045956"
"MSBB","Parahippocampal Gyrus","Microarray","AD-NCI","SLC8A2","-0.378989370256408","0.975882921830554","0.0380556880945179","0.105710244706994"
"MSBB","Parahippocampal Gyrus","RNA-Seq","AD-NCI","TAC1","-1.61961899587906","7.338341510935","9.17674121497535e-10","4.58837060748767e-08"
"MSBB","Superior Temporal Gyrus","RNA-Seq","AD-NCI","TAC1","-1.26343730566622","4.92303827238768","4.77553155354442e-07","1.19388288838611e-05"
"MSBB","Inferior Frontal Gyrus","RNA-Seq","AD-NCI","TAC1","-1.03939584194324","4.10615171319624","4.69893607855591e-06","7.83156013092652e-05"
"ROSMAP","Dorsolateral Prefrontal Cortex","RNA-Seq","AD-NCI","TAC1","-0.701939740019362","3.99088754541366","5.44642067297188e-06","0.000102120387618223"
"MSBB","Frontal Pole","RNA-Seq","AD-NCI","TAC1","-0.705818452522937","2.56567142116043","0.000271849525212608","0.00271849525212608"
"MSBB","Amygdala","Microarray","AD-NCI","TAC1","-1.57467385257143","1.83974535953133","0.00347109006216595","0.0144628752590248"
"ROSMAP","Dorsolateral Prefrontal Cortex","Microarray","AD-NCI","TAC1","-0.107273126448109","1.29488484262554","0.0108186700710427","0.0507125159580127"
"MSBB","Superior Temporal Gyrus","Microarray","AD-NCI","TAC1","-0.610205288942305","1.41290096302452","0.0108207426498419","0.0386455094637211"
"MSBB","Mid Temp Gyrus","Microarray","AD-NCI","TAC1","-0.577873139285714","1.28798815717217","0.0185487370057604","0.0515242694604455"
"MSBB","Dorsolateral Prefrontal Cortex","Microarray","AD-NCI","TAC1","-0.599535944444445","1.23772793842568","0.0250191059958191","0.0578458306196759"
"MSBB","Inferior Frontal Gyrus","Microarray","AD-NCI","TAC1","-0.772500083916084","1.23772793842568","0.0254521654726574","0.0578458306196759"
"MSBB","Inferior Temporal Gyrus","Microarray","AD-NCI","TAC1","-0.552309200606059","0.841408208280696","0.0691565037444739","0.144076049467654"
"MSBB","Posterior Cingulate Cortex","Microarray","AD-NCI","TAC1","-0.642445353296702","0.802068591615277","0.0820228304769767","0.157736212455724"
"MSBB","Parahippocampal Gyrus","RNA-Seq","AD-NCI","TAC3","-0.838022017436779","4.58033971998449","5.88905231714334e-07","2.62821131089833e-05"
"ROSMAP","Dorsolateral Prefrontal Cortex","RNA-Seq","AD-NCI","TAC3","-0.626765520668553","4.58033971998449","1.05128452435933e-06","2.62821131089833e-05"
